seller_ID	num_faces	face_proximity
1oZyjAwxOK	1	0.35
1oZyjxdgOK	1	0.11
1oZyk6L5OK	0	
1oZykA2gOK	0	
1oZykbwWOK	0	
1oZykkJxOK	0	
1oZylgWWOK	0	
1oZyv6WxOK	1	0.16
1oZyvNqgOK	0	
1oZywyZ3OK	1	0.23
1oZyxdpgOK	0	
1oZyxeelOK	1	0.33
2Nop0GkKoD	1	0.22
2Nop2ZG8RD	1	0.36
2Nop44mloD	1	0.05
2Nop5beWrD	1	0.15
2Nop6Y9eRD	1	0.23
2Nop6aW1RD	1	0.05
2Nop8lG8oD	1	0.49
2Nop9AKWrD	0	
2Nop9ZYYrD	1	0.12
2Nop9Zl1rD	0	
2Nop9xbKrD	1	0.34
2NopAyxWrD	1	0.18
2NopGNQ8OD	0	
2NopJ2VkRD	0	
2NopJQqWRD	0	
2NopJax1RD	0	
2NopJjvxRD	1	0.38
2NopJlqWRD	0	
2NopJvpYRD	0	
2NopJw6NRD	1	0.21
2NopKDpNOD	1	0.45
2NopM1A1rD	0	
2NopM5DerD	0	
2NopPPY1oD	0	
2NopQY8xrD	1	0.49
2NopVp2kRD	2	
2NopXBYxoD	0	
2NopY57jrD	1	0.2
2NopdmgloD	0	
2NopejQlrD	1	0.44
2NopelqjrD	0	
2NopkaYeOD	0	
2NopvzmNRD	1	0.25
2Nopy3nYrD	0	
2Nopzv1eRD	0	
2NopzvAWRD	3	
3OP319dXRN	1	0.01
3OP31xZzRN	2	
3OP32ZGmRN	0	
3OP332ZzRN	0	
3OP33jAmRN	0	
3OP33l8VRN	1	0.15
3OP34qL0RN	0	
3OP35EW0RN	0	
3OP364p1RN	2	
3OP375E4RN	1	0.25
3OP37J6mRN	0	
3OP38GWdRN	1	0.45
3OP38XldRN	0	
3OP38kWlRN	0	
3OP39KxzRN	0	
3OP3A33vRN	2	
3OP3EXqVRN	1	0.15
3OP3EYvVRN	1	0.14
3OP3MGxdRN	0	
3OP3QaDVRN	0	
3OP3QmndRN	0	
3OP3VLPVRN	0	
3OP3VVwVRN	0	
3OP3WVJmRN	1	0.08
3OP3WyGVRN	2	
3OP3XKx0RN	0	
3OP3YDk4RN	1	0.34
3OP3bVYlRN	1	0.24
3OP3bna4RN	1	0.52
3OP3bpDmRN	0	
3OP3e9WzRN	0	
3OP3ekXzRN	1	0.21
3OP3jWNmRN	1	0.19
3OP3lealRN	1	0.03
3OP3ngMVRN	0	
3OP3nwz1RN	1	0.03
3OP3ppBmRN	0	
3OP3w3mXRN	0	
3OP3w8zzRN	1	0.56
3OP3wNN0RN	2	
3OP3xDwXRN	0	
3OP3xE4XRN	4	
3OP3xPPzRN	1	0.31
3OP3yWYdRN	0	
3OPB220drN	1	0.17
3OPB2EmzrN	0	
3OPB2yQlrN	0	
3OPB3AN0rN	0	
3OPB3y4drN	2	
3OPB6Vl4rN	0	
3OPB7J64rN	0	
3OPB7LbzrN	1	0.46
3OPB7WBdrN	1	0.71
3OPBB0AXrN	1	0.08
3OPBBDg1rN	0	
3OPBK9a0rN	4	
3OPBKA4grN	0	
3OPBKEkgrN	1	0.19
3OPBL6dVrN	1	0.22
3OPBLKEdrN	0	
3OPBLLaXrN	0	
3OPBLLdvrN	1	0.38
3OPBLMYVrN	1	0.35
3OPBLQp1rN	1	0.42
3OPBLgvXrN	1	0.04
3OPBLnM0rN	1	0.49
3OPBLnddrN	1	0.03
3OPBLwqvrN	0	
3OPBNK3grN	0	
3OPBNwKgrN	2	
3OPBVnn1rN	2	
3OPBVyZ0rN	1	0.12
3OPBWDG0rN	1	0.38
3OPBWzwXrN	1	0.53
3OPBggZzrN	1	0.01
3OPBgpqvrN	0	
3OPBndzmrN	1	0.29
3OPBngb4rN	0	
3OPBnk0VrN	1	0.73
3OPBw73XrN	0	
3OPBy0YlrN	1	0.27
3OPBy2Z4rN	1	0.36
3OPByP71rN	1	0.09
3OPBzBddrN	0	
3OPBzDvvrN	1	0.17
3OPBzPxmrN	0	
3OPBznVVrN	0	
3OPV0VNvrN	1	0.04
3OPV0pNgrN	1	0.53
