Video_ID	showup	smile_duration	duration	smile_proportion
2192940	1	1110	11250	0.09866666666666667
2193886	1	900	9090	0.09900990099009901
2197582	1	5550	17130	0.3239929947460595
2200632	0			
2201790	1	300	14730	0.020366598778004074
2206770	1	8610	26760	0.3217488789237668
2208714	1	10410	77160	0.1349144634525661
2208850	0			
2212620	0			
2221174	0			
2236494	1	0	17100	0.0
2239426	0			
2248828	0			
2254632	0			
2259500	0			
2265454	1	4950	22080	0.22418478260869565
2267290	0			
2269720	1	330	203160	0.0016243354991139988
2271686	0			
2274337	1	120	14520	0.008264462809917356
2276027	1	0	1680	0.0
2276171	1	0	5850	0.0
2276255	0			
2280316	1	0	205170	0.0
2280884	1	5400	11670	0.46272493573264784
2280894	0			
2284925	0			
2288029	1	0	570	0.0
2290263	0			
2290947	1	0	810	0.0
2292573	0			
2293141	1	330	20190	0.01634472511144131
2301996	1	0	133470	0.0
2308176	0			
2313402	0			
2332830	1	90	2340	0.038461538461538464
2334782	1	0	930	0.0
233900	0			
2342680	1	780	9960	0.0783132530120482
2343668	1	0	6090	0.0
2360884	0			
2362220	0			
2365720	0			
2369558	0			
2373572	1	0	570	0.0
2378378	0			
2379790	0			
2379796	0			
2390840	0			
240256	0			
2405380	0			
2410044	1	30	990	0.030303030303030304
2412820	1	0	5940	0.0
2418110	1	2370	14130	0.16772823779193205
2419864	1	0	2100	0.0
2424386	1	2310	2310	1.0
2431422	0			
2431788	1	720	39660	0.018154311649016642
2435368	0			
2436348	0			
2436568	0			
2450950	1	7260	32730	0.22181484876260313
2465786	0			
2468770	1	2790	19770	0.1411229135053111
2475130	0			
2484866	1	1260	1260	1.0
24877	0			
2487946	0			
2493896	0			
2494054	0			
2495100	0			
249934	0			
2504702	0			
2512030	0			
2516506	1	60	11280	0.005319148936170213
2522382	0			
2522946	0			
252396	0			
2540964	1	0	1830	0.0
2550757	1	0	5910	0.0
2551089	0			
2555800	0			
2563388	1	840	14220	0.05907172995780591
2563584	0			
2564412	1	0	2490	0.0
2577854	0			
2595494	0			
2595588	0			
2596422	0			
