Id,Title,Blurb,Category_A,Category_B,Category_C,Language,Length_of_Video,Marked_Price,Rating,Reviews_Num,Selling_Price,Students_Num,Students_of_Tch_1,Name_of_Tch_1,Courses_of_Tch_1,Reviews_of_Tch_1,Rating_of_Tch_1,Url
474212,High performance Stock Trading using key Options techniques,Important Options trading concepts for all Stock traders wanting to apply simple techniques for high performance trading,Finance & Accounting,Investing & Trading,Stock Trading,English,1.5 hours,29.99,4.55417,157,15.99,3423,94833,Hari Swaminathan,31,14573,4.420163269,https://www.udemy.com/course/high-performance-stock-trading-using-options-trading-techniques/
388164,Basics of Economics A Complete Study,Learn basics of economics useful for real life application,Finance & Accounting,Economics,Economics,English,6 hours,94.99,4.4250793,156,16.99,4065,194016,"Raja Natarajan, B.Com., PGDBA, FCA",111,10916,4.20030241,https://www.udemy.com/course/economics-for-accounting-and-finance-professionals/
516846,Certified Management Accountant's 2021 Exam #1 Prep.,Be A CMA by the end of 2021. Know how to pass Exam #1. Course material is compliant with IMA's 2020 Learning outcomes.,Finance & Accounting,Finance Cert & Exam Prep,Certified Management Accountant (CMA),English,7 hours,24.99,4.58646,157,24.99,2478,7555,Dr. John Daniel Mclellan,25,588,4.127549291,https://www.udemy.com/course/be-a-certified-management-accountant-exam-prep-part-1/
3384718,"SAP CO Product Costing-""By Order Scenario"" in S4/HANA 1909",Product Costing With Make to Stock Scenario ( Desecrate Manufacturing Process),Finance & Accounting,Money Management Tools,SAP FICO,English,9.5 hours,19.99,4.3607287,158,19.99,883,1914,Karanam Sreedhar,16,582,4.411187889,https://www.udemy.com/course/sap-co-product-costing-by-order-scenario-in-s4-hana-1909/
3293370,"Bitcoin 101 - Complete Intro to Bitcoin, Blockchain & Crypto","A Complete Thesis On The Bullish Case For Bitcoin, Blockchain & Cryptocurrency",Finance & Accounting,Cryptocurrency & Blockchain,Bitcoin,English,8.5 hours,84.99,4.6154165,160,14.99,12909,12909,Mike Grantis,1,160,4.5310125,https://www.udemy.com/course/bitcoin-blockchain-cryptocurrency-101/
2763304,QuickBooks Online Complex Issues And Advanced Techniques,How To Prove An Entire Set Of QuickBooks Online Records Are Correct To The Last Detail,Finance & Accounting,Money Management Tools,QuickBooks,English,8.5 hours,74.99,4.834718,156,14.99,1749,33004,Mark Smolen,43,6494,4.468111996,https://www.udemy.com/course/quickbooks-online-complex-issues-and-advanced-techniques/
3498214,Strategies for Stocks Picking and Options Trading,Updated: April 2021. Education from a PRO! Includes both Stock Trading and Options Concepts! Stock Screeners,Finance & Accounting,Investing & Trading,Stock Trading,English,8.5 hours,19.99,3.7960355,155,14.99,694,1058,Nitin Gupta,2,174,3.79326995,https://www.udemy.com/course/stocks-and-options-picking/
1552848,Basic Cryptocurrency Trading Course + 12 Trading Robots,"Learn Cryptocurrency Trading Starting from Basics, Going Through Manual Trading, up to Professional Algorithmic Trading",Finance & Accounting,Cryptocurrency & Blockchain,Cryptocurrency,English,5 hours,84.99,4.441685,155,14.99,1094,46880,Petko Zhivkov Aleksandrov,45,7481,4.552836776,https://www.udemy.com/course/basic-cryptocurrency-trading-course-from-a-to-z/
1301302,The Complete Ethereum (Cryptocurrency) Guide - Earn Ethereum,Earn 0.001 ETH,Finance & Accounting,Cryptocurrency & Blockchain,Ethereum,English,37 mins,19.99,2.6628573,154,14.99,4968,134444,Joydip Ghosh,11,4090,3.594993251,https://www.udemy.com/course/ethereum-cryptocurrency-blockchain-solidity-ethereum-bitcoin-crypto/
1363174,Financial Modeling & DCF Valuation Model: Investment Banking,"Equity Valuation & Corporate Finance, FCF & Dividend Discount Models, Company Valuation Modeling For Startups & Bankers",Finance & Accounting,Financial Modeling & Analysis,Financial Modeling,English,4 hours,84.99,3.4144168,154,14.99,6446,69088,Jean-Gabriel Paquette,32,2598,3.471593494,https://www.udemy.com/course/financial-modeling-dcf-valuation-model-investment-banking/
1565920,Certification in Renko Chart Trading & Taj Mahal Strategy,Learn What is Renko Trading & How to trade using Taj Mahal Strategy. Renko Chart is used by Pros & its a Special skill,Finance & Accounting,Finance Cert & Exam Prep,Technical Analysis,English,1.5 hours,89.99,4.687984,154,15.99,18366,226121,Saad T. Hameed (STH) ‧ 0.31+ Million Enrollments Worldwide,51,5078,4.516906383,https://www.udemy.com/course/renko-chart/
2708538,Investing In Stocks In The Stock Market - Stock Trading,Stock Trading - Master the necessary knowledge and skills to start earning investing in stocks in the stock market,Finance & Accounting,Investing & Trading,Investing,English,2.5 hours,84.99,4.2649045,154,14.99,473,1378,Anton Rybakov,2,284,4.21096575,https://www.udemy.com/course/stock-trading-investing-in-stocks-on-the-stock-market/
