Video_ID	showup	smile_duration	duration	smile_proportion
1535970	1	0	15810	0.0
1536066	1	0	13860	0.0
1537740	1	0	11910	0.0
1540380	1	15930	57990	0.2747025349198138
1541778	0			
1547484	0			
1550112	0			
1553136	1	1440	6840	0.21052631578947367
1553738	1	0	810	0.0
1555326	1	120	11310	0.010610079575596816
1560348	1	3540	16350	0.21651376146788992
1561606	1	990	13710	0.07221006564551423
1578722	0			
1582266	1	0	7980	0.0
1586110	1	0	21930	0.0
1586500	1	30	18120	0.0016556291390728477
1594030	1	5490	14130	0.3885350318471338
1595276	1	0	6210	0.0
1596336	1	390	3630	0.10743801652892562
1609596	0			
1612050	1	3840	19950	0.1924812030075188
1612532	1	6510	20910	0.3113342898134864
1618404	1	510	25020	0.02038369304556355
1624746	1	450	22440	0.020053475935828877
1632674	1	6300	14040	0.44871794871794873
1639288	1	9450	15690	0.6022944550669216
1642638	1	0	5520	0.0
1642938	1	2790	3150	0.8857142857142857
1643770	1	0	1740	0.0
1644918	1	2250	9540	0.2358490566037736
1646848	1	0	14160	0.0
1650264	1	8220	33810	0.24312333629103816
1653664	1	4590	38520	0.1191588785046729
1670456	1	540	7500	0.072
1679476	1	2550	34650	0.0735930735930736
1699582	1	2850	17820	0.15993265993265993
1702424	1	630	5730	0.1099476439790576
1707930	1	0	2010	0.0
1713366	1	300	10380	0.028901734104046242
1713928	0			
1717070	0			
1718950	0			
1719944	0			
1720356	1	330	20250	0.016296296296296295
1721592	1	810	13920	0.05818965517241379
1723120	1	0	810	0.0
172336	1	30	17250	0.0017391304347826088
1739952	1	0	21450	0.0
1743568	1	360	21300	0.016901408450704224
1767494	1	0	29400	0.0
176962	0			
1776974	1	4230	12240	0.34558823529411764
1781928	1	0	14610	0.0
1782908	1	2070	22890	0.09043250327653997
1785208	1	990	16230	0.06099815157116451
1796738	1	30	6330	0.004739336492890996
1796858	1	0	240	0.0
1800988	1	8430	13680	0.6162280701754386
1810816	1	5280	20310	0.25997045790251105
184136	1	2190	108540	0.020176893311221668
184138	1	1770	76500	0.023137254901960783
1844956	1	0	23760	0.0
1856086	1	6630	19680	0.33689024390243905
1870422	1	300	14220	0.02109704641350211
1890008	0			
1890280	1	30	10410	0.002881844380403458
189086	0			
1891438	1	360	3540	0.1016949152542373
1892252	1	16290	27570	0.5908596300326442
1892676	1	1440	8550	0.16842105263157894
1904280	1	0	810	0.0
1905156	1	150	3960	0.03787878787878788
190852	1	990	62340	0.01588065447545717
190868	1	60	2760	0.021739130434782608
190894	1	0	750	0.0
1918256	1	0	12900	0.0
1918258	1	90	14130	0.006369426751592357
1931790	0			
1933710	0			
193824	1	0	2010	0.0
1942484	1	1920	1920	1.0
1949428	0			
1952202	1	1740	23370	0.07445442875481387
195286	1	0	3210	0.0
1962332	1	720	6930	0.1038961038961039
19645	1	46	10994	0.0041841004184100415
1965588	1	1500	7050	0.2127659574468085
1976728	1	1230	34620	0.03552859618717504
1982572	1	210	8430	0.02491103202846975
1983664	1	30	13710	0.002188183807439825
1985814	0			
1991330	1	0	27720	0.0
1992144	1	0	12750	0.0
1995462	0			
2000252	1	1110	16740	0.06630824372759857
2003354	1	450	600	0.75
2016652	1	0	32310	0.0
2035914	1	0	17250	0.0
2052119	1	8520	8520	1.0
2055795	0			
2057665	1	0	15810	0.0
205942	1	240	16170	0.014842300556586271
2064173	1	690	2820	0.24468085106382978
2065159	1	8370	17670	0.47368421052631576
206894	1	30	8580	0.0034965034965034965
2069393	1	2340	8490	0.2756183745583039
2070433	1	0	3420	0.0
2070509	1	60	1740	0.034482758620689655
2072037	1	2460	20700	0.11884057971014493
2074444	1	9270	79740	0.1162528216704289
2075324	1	0	3660	0.0
2076402	1	570	21360	0.026685393258426966
2083068	1	0	12750	0.0
2094656	0			
2108272	1	7980	23400	0.34102564102564104
2120356	1	0	4710	0.0
2127082	0			
2131392	1	1680	11850	0.14177215189873418
2132038	1	0	8160	0.0
213254	0			
2138160	1	9390	17040	0.551056338028169
2142854	1	0	12750	0.0
2151152	1	210	240	0.875
2155970	1	120	630	0.19047619047619047
2170098	1	4680	12720	0.36792452830188677
2188092	1	240	25770	0.009313154831199068
2188604	1	1200	50970	0.023543260741612712
2201816	1	330	42180	0.007823613086770981
2204132	1	1140	7290	0.15637860082304528
2213940	1	30	13830	0.0021691973969631237
2218098	1	2790	15240	0.1830708661417323
2219216	1	60	8520	0.007042253521126761
2219428	1	2430	21000	0.11571428571428571
2228680	1	120	20850	0.0057553956834532375
2230338	1	150	7260	0.02066115702479339
2231650	1	30	11610	0.002583979328165375
2240978	1	3300	18210	0.1812191103789127
2245682	1	1410	20490	0.06881405563689605
2254556	1	1350	4740	0.2848101265822785
2260258	1	120	33450	0.003587443946188341
2275491	1	0	18900	0.0
