Id	Title	Blurb	Category_A	Category_B	Category_C	Language	Length_of_Video	Marked_Price	Rating	Reviews_Num	Selling_Price	Students_Num	Students_of_Tch_1	Name_of_Tch_1	Courses_of_Tch_1	Reviews_of_Tch_1	Rating_of_Tch_1	Url
2345358	Professional Anger & Aggression Counselling Diploma	Fully Accredited Diploma Course For Powerful Counselling Techniques For Anger & Aggression Management	Personal Development	Stress Management	Anger Management	English	41 mins	94.99	4.3260965	120	10.99	654	112294	Dr Karen E Wells	122	30451	4.52518196078615	https://www.udemy.com/course/professional-anger-aggression-counselling-diploma/
3369752	Become a Communication Skills Specialist - 9 Courses in 1	Master Conflicts, Persuasion, Public Speaking, Presentation, Writing Skills, Customer Service & Confidence to Speak Up.	Personal Development	Personal Transformation	Communication Skills	English	9 hours	84.99	3.827571	121	9.99	688	142897	Robin & Jesper	49	29380	4.564009195017639	https://www.udemy.com/course/communication-skills-masterclass-business-personal-life/
1327236	12 Surefire Hacks To Writing Your First Book! - Book Writing	How To Write Your First Book In Record Time. This Simple, No Fluff, Step by Step Strategies Will Help You Get Results!	Personal Development	Personal Brand Building	Writing a Book	English	1.5 hours	59.99	4.723939	120	9.99	3894	135535	Boomy Tokan	32	1423	4.454628535844156	https://www.udemy.com/course/12-surefire-hacks-to-your-first-book/
2705464	THE 7 SACRED RAYS AND FLAMES	Invoke the Divine Virtues into your Life!	Personal Development	Personal Transformation	Meditation	English	2.5 hours	69.99	4.9552784	120	9.99	675	6802	Demian Haye Magic Vibrations Healing	19	2757	4.897793478057554	https://www.udemy.com/course/the-7-sacred-rays-and-flames/
2692326	Personal Development Life Coaching Certification: Accredited	Full Personal Self Development Certification: Learn Personality Development And Soft Skills & Personal Transformation	Personal Development	Personal Transformation	Personal Development	English	4 hours	84.99	4.7705946	119	9.99	430	137924	Felix Harder	33	28853	4.560644107193818	https://www.udemy.com/course/personal-development-life-coaching-certification/
2608138	Life Coaching Certification	Become a competent Life Coach, learn powerful Life Coaching techniques and build a successful coaching practice	Personal Development	Personal Transformation	Life Coach Training	English	2.5 hours	84.99	4.453917	119	9.99	3159	7954	Neven Coaching Academy	11	690	4.256804201666666	https://www.udemy.com/course/life-coaching-certification/
2864798	30 Art Therapy Exercises to Unwind and Explore Your Mind	Healing through the visual arts	Personal Development	Creativity	Art Therapy	English	2.5 hours	19.99	4.61494	119	9.99	884	885	Emma Lau	1	119	4.61494	https://www.udemy.com/course/art-therapy-exercises/
572194	"PURPOSE ...  how to find your ""why"""	understanding who you really are so that decisions are effortless, and life gets easy.	Personal Development	Happiness	Life Purpose	English	1 hour	29.99	4.4965205	120	9.99	2148	34096	David Hyner	9	3569	4.481369064285715	https://www.udemy.com/course/purpose-you-but-better-and-how-to-find-your-why/
3554231	Professional Accredited Forensic Psychology Diploma Course	A Fascinating Insight Into The Minds Of Criminals by Using Forensic Psychology. Fully Accredited Course	Personal Development	Career Development	Forensic Science	English	37 mins	84.99	4.681366	119	9.99	779	112257	Dr Karen E Wells	122	30452	4.52518196078615	https://www.udemy.com/course/professional-accredited-forensic-psychology-diploma-course/
1296322	Parenting Children Who Have Experienced Trauma and Adversity	Applying Trauma Informed Parenting Principles to Help Children Thrive	Personal Development	Parenting & Relationships	Parenting	English	3 hours	94.99	4.756996	118	10.99	537	3136	Mary Allison Brown, MSW	3	579	4.643596133333333	https://www.udemy.com/course/trauma-informed-parenting/
1767494	Complete Six Sigma Green Belt Certification Training	Get all your questions answered here about Lean Six Sigma and why it is important to achieve the certification.	Personal Development	Personal Productivity	Six Sigma	English	8 hours	19.99	4.8600655	119	9.99	412	11322	Sprintzeal Americas Inc.	2	661	4.78571115	https://www.udemy.com/course/complete-six-sigma-green-belt-certification-training/
1624746	The Captivating Actor - A Comprehensive Guide	With Actor and YouTube Star Rick Segall - How To Improve Your Chances of Success in Your Craft & Your Career	Personal Development	Career Development	Acting	English	4.5 hours	84.99	4.6979628	118	9.99	779	779	Chanti Niven	1	118	4.6979666	https://www.udemy.com/course/captivatingactor/
